Cultist,Stealth,Influence,Endurance,Lore,Economic,Strength,Insanity,Position
Nellie Simpson,3.8,9.2,2.2,5.4,3.9,2.1,2.2,Advisor
Brad Garner,5.2,3.9,7.5,8.8,3.5,3.1,5.3,Priest
Kristen Watkins,4.4,2.3,5.4,7.4,4.9,6.2,2.4,Accountant
Marcella Peters,8.2,6.4,4.1,0.9,2.7,0.2,9.6,Recruiter
Vivian Montgomery,4.4,4.7,3.6,8.9,1.1,9.5,5.6,Enforcer
Mildred Roberson,2.4,9.6,2.8,9.0,6.5,2.7,2.8,Advisor
Pat Miles,9.7,1.1,2.0,6.9,9.6,7.1,1.1,Accountant
Ed Briggs,3.5,7.3,3.9,3.9,1.8,8.6,7.9,Enforcer
Vanessa Strickland,9.5,8.7,4.5,4.4,8.9,0.9,9.1,Recruiter
Marguerite Adkins,6.2,1.8,9.8,4.6,0.4,7.4,1.2,Assassin
Patrick Newman,4.4,9.8,5.6,2.4,4.2,2.3,0.1,Recruiter
Teri Goodwin,2.5,5.9,5.5,8.8,6.2,5.7,7.6,Priest
Drew Underwood,0.0,1.8,2.5,5.5,9.9,6.1,9.2,Priest
Jonathon Stephens,10.0,4.4,8.3,4.5,7.5,0.2,0.0,Accountant
Pauline Martinez,5.5,0.3,6.7,8.4,2.8,4.5,6.2,Assassin
Cathy Brewer,6.9,5.6,3.1,8.9,5.3,1.4,5.3,Advisor
Dora Holloway,4.6,0.4,2.2,2.1,0.8,3.0,8.9,Assassin
Joan Sharp,2.2,3.8,7.1,5.2,6.7,0.1,0.9,Accountant
Darrell Murray,6.4,6.6,6.8,2.1,6.3,3.4,0.7,Accountant
Jessie Edwards,3.8,10.0,5.5,5.8,7.2,5.5,2.0,Advisor
Claudia Burgess,0.8,9.7,8.4,1.3,3.4,0.9,8.8,Priest
Hubert Stewart,6.3,3.3,4.7,4.6,4.9,1.7,9.9,Priest
Edna Boone,4.0,8.2,9.1,5.4,1.1,3.2,6.1,Enforcer
